lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id
1,Oaxaca de Juarez,,,,ciudad,
2,Veracruz,,,,ciudad,
3,Antequera,,,,ciudad,
4,Ujlapa del Marquesado de Oaxaca,,,,pueblo,
5,Ulapa del Marquesado de Oaxaca,,,,pueblo,
6,Nejapa,,,,pueblo,
7,Zimatlan,,,,pueblo,
8,Merida de Yucatan,,,,ciudad,
9,Guatemala,,,,region,
10,Cuicatlán,,,,pueblo,
11,Teococuilco,,,,pueblo,
12,Chalcatongo,,,,pueblo,
13,Miahuatlán,,,,pueblo,
14,Villa Alta de San Ildefonso,,,,pueblo,
15,Villa del Marquesado del Valle,,,,villa,
16,San Juan Bautista,,,,pueblo,
17,Cádiz,,,,ciudad,
18,Tehuacán,,,,ciudad,
19,Lisboa,,,,ciudad,
20,"Amatlan, Veracruz",,,,pueblo,
21,Puebla,,,,estado,
22,Puebla,,,,ciudad,
23,Cholula,,,,ciudad,
24,Mexico,,,,ciudad,
25,Cabo Verde,,,,region,
26,Carrión,,,,ciudad,
27,Atlixco,,,,ciudad,
28,Tlaxcala,,,,ciudad,
29,Sevilla,,,,ciudad,
30,Acatzingo,,,,ciudad,
31,Tlalixcoyan,,,,pueblo,
32,Villa de Torres Novas,,,,villa,
33,"Torres Novas, Portugal",,,,villa,
34,"Xalapa, Veracruz",,,,ciudad,
35,Tlacolula,,,,ciudad,
36,Tlaxisco,,,,ciudad,
37,Castilla,,,,provincia,
38,Tepeaca,,,,ciudad,
39,Huejotzingo,,,,ciudad,
40,Huamantla,,,,ciudad,
41,México,,,,ciudad,
42,Nueva Veracruz,,,,ciudad,
43,Santiago de Guatemala,,,,ciudad,
44,Santiago de Guatemala,,,,ciudad,
45,Panama,,,,pais,
46,Panama,,,,gobernacion,
59,Aguascalientes,,,,ciudad,
60,Aguascalientes,,,,ciudad,
62,Villa de Nuestra Señora de la Asunción de las Aguascalientes,,,,villa,
63,Calpan,,,,ciudad,
64,Sao Tomé,,,,ciudad,
65,Nueva España,,,,region,
66,Nueva España,,,,region,
67,Nueva España,,,,region,
68,Tecamachalco,,,,ciudad,
69,Islas Canarias,,,,region,
70,Cartagena de Indias,,,,ciudad,
71,Terrenate,,,,ciudad,
72,Brasil,,,,estado,
73,Tlalnepantla,,,,ciudad,
74,Chiapa de la Real Corona,,,,ciudad,
75,Ixtepeji,,,,pueblo,
76,"Cordoba, España",,,,ciudad,
77,"Taboga, Panama",,,,isla,
78,Ixtepec,,,,ciudad,
79,Tustepeque,,,,pueblo,
80,Coatlán,,,,pueblo,
81,Ejutla,,,,pueblo,
82,Juquila,,,,pueblo,
83,Teposcolula,,,,pueblo,
84,Tejupa,,,,pueblo,
85,Mixtepec,,,,pueblo,
86,Guadalajara,,,,ciudad,
87,Sosola,,,,pueblo,
88,Neap,,,,villa,
89,Nejapa,,,,villa,
90,Huajolotitlan,,,,pueblo,
91,Acatlán,,,,ciudad,
92,"San Salvador, Reino de Guatemala",,,,ciudad,
93,Tabasco,,,,provincia,
94,Teotitlán del Camino,,,,pueblo,
96,Colima ciudad (antes Villa de Colima),,-0.000001,-0.000001,ciudad,
97,Santa María Ozolotepec,,,,pueblo,
98,"Tepachula, Soconusco",,,,ciudad,
99,Portugal,,,,region,
100,Otumba,,,,ciudad,
101,San Hipólito Martir,,,,provincia,
102,Soconusco,,,,region,
103,"Santamaria, Castilla",,,,ciudad,
104,Sinaloa y Sonora,,,,provincia,
105,"Culiaca, reino de la Nueva Galicia",,,,villa,
106,Tanechi,,,,pueblo,
107,Santo Domingo,,,,isla,
108,Angola,,,,region,
109,"San Salvador de Arroniz, España",,,,villa,
110,Yanhuitlán,,,,ciudad,
111,Autlán,,,,villa,
112,Hostotipaquillo,,,,real,
113,Guinea,,,,region,
114,Zacatecas,,,,ciudad,
115,La Rinconada,,,,pueblo,
116,Huexotzingo,,,,ciudad,
117,África Occidental,,,,region,
118,Querétaro,,,,ciudad,
119,Fresnillo,,,,real,
120,Cocula,,,,villa,
121,Ocotitlán,,,,real,
122,Amilpas,,,,pueblo,
123,Ahualulco,,,,villa,
124,Cuidad Real de Chiapa,,,,ciudad,
125,Ometepeque,,,,region,
126,Jalacingo,,,,ciudad,
127,Santo Tomé,,,,isla,
128,Provincia de Ávalos,,,,provincia,
129,Jalostotitlán,,,,villa,
130,Amatlán del Río de Alvarado,,,,puerto,
131,Mozambique,,,,region,
132,India de Portugal,,,,region,
133,Tepic,,,,villa,
134,Pinotepa del Rey,,,,ciudad,
135,Isatlán,,,,real,
136,Porto Rico,,,,ciudad,
137,Perú,,,,gobernacion,
138,Jora,,,,real,
139,Celaya,,,,villa,
140,Zacatlán,,,,ciudad,
141,Xalpantepeque,,,,pueblo,
142,San Jacinto,,,,pueblo,
143,Salamanca,,,,villa,
144,San Felipe y Santiago de Sinaloa,,,,villa,
145,Ahuacatlán,,,,villa,
146,Ciudad de México,,,,ciudad,
147,Atzalán,,,,ciudad,
148,Santa María Nativitas,,,,pueblo,
149,Izúcar,,,,ciudad,
150,Ayutla,,,,pueblo,
151,Colima,,,,villa,
152,Zacatula,,,,provincia,
153,Tlacoatzintepec,,,,pueblo,
154,Habana,,,,ciudad,
155,Mérida,,,,ciudad,
156,Valladolid (Morelia),,,,ciudad,
157,Filipinas,,,,isla,
158,Cihuatlán,,,,villa,
159,San Juan de Ulúa,,,,ciudad,
160,Amozoc,,,,ciudad,
161,"San Lorenzo, jurisdicción de Guaxolotitlan",,,,pueblo,
162,Compostela,,,,ciudad,
163,Atoyac,,,,villa,
164,Guachinango,,,,real,
165,Manila,,,,ciudad,
166,Acapulco,,,,ciudad,
167,Santo Domigo Latani,,,,pueblo,
168,Chietla,,,,ciudad,
169,Santa María Yahuivé,,,,pueblo,
170,Chacaltianguis,,,,pueblo,
171,San Andrés Chalchicomula,,,,ciudad,
172,Tierra Malenba,,,,region,
173,Ahuacatitlan,,,,pueblo,
174,Chimaltitlán,,,,villa,
175,Taxco,,,,ciudad,
176,Acayucan,,,,ciudad,
177,Brasil,,,,region,
178,San Cristóbal de las Casas,,,,ciudad,
179,Huajupam,,,,pueblo,
180,Huajuapan,,,,pueblo,
181,Huajuapan,,,,pueblo,
182,Biafra,,,,region,
183,San Antonio de Suchitepéquez,,,,pueblo,
184,Tehuantepec,,,,pueblo,
185,Yepes (España),,,,pueblo,
186,Mezquitán,,,,real,
187,Ahuatlán,,,,pueblo,
188,Cuernavaca,,18.924200,99.221600,villa,
189,Chapala,,,,villa,
190,Congo,,,,region,
191,Tierra Cafre,,,,region,
192,Acaponeta,,,,villa,
193,San Marcial,,,,real,
194,Pátzcuaro,,,,villa,
195,Villa de los Lagos,,,,villa,
196,"Sonsonate, El Salvador",,,,villa,
197,Malinaltepeque,,,,region,
198,Atlahuaca,,,,region,
199,Yolox,,,,pueblo,
200,"Santamaria, reino de Castilla",,,,puerto,
201,"Apoala, jurisdicción de Yanhuitlan",,,,pueblo,
202,Peñoles,,,,region,
203,Jamiltepec,,,,pueblo,
204,Jalatlaco,,,,pueblo,
205,Cuicatlan,,,,region,
206,Tulancingo,,,,ciudad,
207,Chimaltitán,,,,real,
208,San Luis Potosí,,,,ciudad,
209,Totomehuacan,,,,pueblo,
210,Motaje,,,,real,
211,La Magdalena,,,,real,
212,Sombrerete,,,,real,
213,"Pinula, Guatemala",,,,pueblo,
214,Guaxolotitlan,,,,region,
215,Teotitlan,,,,region,
216,Tequila,,,,villa,
217,Montegrande,,,,real,
218,Amajac,,,,real,
219,Yanhuitlán,,,,pueblo,
220,Tlaxiaco,,,,pueblo,
221,Petlalcingo,,,,pueblo,
222,Tonalá,,,,pueblo,
223,Jicayán,,,,pueblo,
224,"Ysquinta, Guatemala",,,,pueblo,
225,"Mapastepeque, Soconusco",,,,pueblo,
226,Tequepexpan,,,,villa,
