lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id
1,oaxaca de juarez,,,,ciudad,
2,veracruz,,,,ciudad,
3,antequera,,,,ciudad,
4,ulapa del marquesado de oaxaca,,,,pueblo,
6,nejapa,,,,pueblo,
7,zimatlan,,,,pueblo,
8,merida de yucatan,,,,ciudad,
9,guatemala,,,,region,
10,cuicatlán,,,,pueblo,
11,teococuilco,,,,pueblo,
12,chalcatongo,,,,pueblo,
13,miahuatlán,,,,pueblo,
14,villa alta de san ildefonso,,,,pueblo,
15,villa del marquesado del valle,,,,villa,
16,san juan bautista,,,,pueblo,
17,cádiz,,,,ciudad,
18,tehuacán,,,,ciudad,
19,lisboa,,,,ciudad,
20,"amatlan, veracruz",,,,pueblo,
21,puebla,,,,estado,
22,puebla,,,,ciudad,
23,cholula,,,,ciudad,
24,mexico,,,,ciudad,
25,cabo verde,,,,region,
26,carrión,,,,ciudad,
27,atlixco,,,,ciudad,
28,tlaxcala,,,,ciudad,
29,sevilla,,,,ciudad,
30,acatzingo,,,,ciudad,
31,tlalixcoyan,,,,pueblo,
32,villa de torres novas,,,,villa,
33,"torres novas, portugal",,,,villa,
34,"xalapa, veracruz",,,,ciudad,
35,tlacolula,,,,ciudad,
36,tlaxisco,,,,ciudad,
37,castilla,,,,provincia,
38,tepeaca,,,,ciudad,
39,huejotzingo,huexotzingo,,,ciudad,
40,huamantla,,,,ciudad,
41,méxico,,,,ciudad,
42,nueva veracruz,,,,ciudad,
43,santiago de guatemala,,,,ciudad,
45,panama,,,,pais,
46,panama,,,,gobernacion,
59,aguascalientes,,,,ciudad,
62,villa de nuestra señora de la asunción de las aguascalientes,,,,villa,
63,calpan,,,,ciudad,
64,sao tomé,,,,ciudad,
65,nueva españa,,,,region,
68,tecamachalco,,,,ciudad,
69,islas canarias,,,,region,
70,cartagena de indias,,,,ciudad,
71,terrenate,,,,ciudad,
72,brasil,,,,estado,
73,tlalnepantla,,,,ciudad,
74,chiapa de la real corona,chiapa de corzo,,,ciudad,
75,ixtepeji,,,,pueblo,
76,"cordoba, españa",,,,ciudad,
77,"taboga, panama",,,,isla,
78,ixtepec,,,,ciudad,
79,tustepeque,,,,pueblo,
80,coatlán,,,,pueblo,
81,ejutla,,,,pueblo,
82,juquila,,,,pueblo,
83,teposcolula,,,,pueblo,
84,tejupa,,,,pueblo,
85,mixtepec,,,,pueblo,
86,guadalajara,,,,ciudad,
87,sosola,,,,pueblo,
88,neap,,,,villa,
89,nejapa,,,,villa,
90,huajolotitlan,,,,pueblo,
91,acatlán,zacatlán,,,ciudad,
92,"san salvador, reino de guatemala",,,,ciudad,
93,tabasco,,,,provincia,
94,teotitlán del camino,,,,pueblo,
96,colima ciudad (antes villa de colima),,-1e-06,-1e-06,ciudad,
97,santa maría ozolotepec,,,,pueblo,
98,"tepachula, soconusco",,,,ciudad,
99,portugal,,,,region,
100,otumba,,,,ciudad,
101,san hipólito martir,,,,provincia,
102,soconusco,,,,region,
103,"santamaria, castilla",,,,ciudad,
104,sinaloa y sonora,,,,provincia,
105,"culiaca, reino de la nueva galicia",,,,villa,
106,tanechi,,,,pueblo,
107,santo domingo,,,,isla,
108,angola,,,,region,
109,"san salvador de arroniz, españa",,,,villa,
110,yanhuitlán,,,,ciudad,
111,autlán,,,,villa,
112,hostotipaquillo,,,,real,
113,guinea,,,,region,
114,zacatecas,,,,ciudad,
115,la rinconada,,,,pueblo,
117,áfrica occidental,,,,region,
118,querétaro,,,,ciudad,
119,fresnillo,,,,real,
120,cocula,,,,villa,
121,ocotitlán,,,,real,
122,amilpas,,,,pueblo,
123,ahualulco,,,,villa,
124,cuidad real de chiapa,,,,ciudad,
125,ometepeque,,,,region,
126,jalacingo,,,,ciudad,
127,santo tomé,,,,isla,
128,provincia de ávalos,,,,provincia,
129,jalostotitlán,,,,villa,
130,amatlán del río de alvarado,,,,puerto,
131,mozambique,,,,region,
132,india de portugal,,,,region,
133,tepic,,,,villa,
134,pinotepa del rey,,,,ciudad,
135,isatlán,,,,real,
136,porto rico,,,,ciudad,
137,perú,,,,gobernacion,
138,jora,,,,real,
139,celaya,,,,villa,
141,xalpantepeque,,,,pueblo,
142,san jacinto,,,,pueblo,
143,salamanca,,,,villa,
144,san felipe y santiago de sinaloa,,,,villa,
145,ahuacatlán,,,,villa,
146,ciudad de méxico,,,,ciudad,
147,atzalán,,,,ciudad,
148,santa maría nativitas,,,,pueblo,
149,izúcar,,,,ciudad,
150,ayutla,,,,pueblo,
151,colima,,,,villa,
152,zacatula,,,,provincia,
153,tlacoatzintepec,,,,pueblo,
154,habana,,,,ciudad,
155,mérida,,,,ciudad,
156,valladolid (morelia),,,,ciudad,
157,filipinas,,,,isla,
158,cihuatlán,,,,villa,
159,san juan de ulúa,,,,ciudad,
160,amozoc,,,,ciudad,
161,"san lorenzo, jurisdicción de guaxolotitlan",,,,pueblo,
162,compostela,,,,ciudad,
163,atoyac,,,,villa,
164,guachinango,,,,real,
165,manila,,,,ciudad,
166,acapulco,,,,ciudad,
167,santo domigo latani,,,,pueblo,
168,chietla,,,,ciudad,
169,santa maría yahuivé,,,,pueblo,
170,chacaltianguis,,,,pueblo,
171,san andrés chalchicomula,,,,ciudad,
172,tierra malenba,,,,region,
173,ahuacatitlan,aguacatitlan,,,pueblo,
174,chimaltitlán,,,,villa,
175,taxco,,,,ciudad,
176,acayucan,,,,ciudad,
177,brasil,,,,region,
178,san cristóbal de las casas,,,,ciudad,
179,huajupam,,,,pueblo,
180,huajuapan,,,,pueblo,
182,biafra,,,,region,
183,san antonio de suchitepéquez,,,,pueblo,
184,tehuantepec,,,,pueblo,
185,yepes (españa),,,,pueblo,
186,mezquitán,,,,real,
187,ahuatlán,,,,pueblo,
188,cuernavaca,,18.9242,99.2216,villa,
189,chapala,,,,villa,
190,congo,,,,region,
191,tierra cafre,,,,region,
192,acaponeta,,,,villa,
193,san marcial,,,,real,
194,pátzcuaro,,,,villa,
195,villa de los lagos,,,,villa,
196,"sonsonate, el salvador",,,,villa,
197,malinaltepeque,,,,region,
198,atlahuaca,,,,region,
199,yolox,,,,pueblo,
200,"santamaria, reino de castilla",,,,puerto,
201,"apoala, jurisdicción de yanhuitlan",,,,pueblo,
202,peñoles,,,,region,
203,jamiltepec,,,,pueblo,
204,jalatlaco,,,,pueblo,
205,cuicatlan,,,,region,
206,tulancingo,,,,ciudad,
207,chimaltitán,,,,real,
208,san luis potosí,,,,ciudad,
209,totomehuacan,,,,pueblo,
210,motaje,,,,real,
211,la magdalena,,,,real,
212,sombrerete,,,,real,
213,"pinula, guatemala",,,,pueblo,
214,guaxolotitlan,,,,region,
215,teotitlan,,,,region,
216,tequila,,,,villa,
217,montegrande,,,,real,
218,amajac,,,,real,
219,yanhuitlán,,,,pueblo,
220,tlaxiaco,,,,pueblo,
221,petlalcingo,,,,pueblo,
222,tonalá,,,,pueblo,
223,jicayán,,,,pueblo,
224,"ysquinta, guatemala",,,,pueblo,
225,"mapastepeque, soconusco",,,,pueblo,
226,tequepexpan,,,,villa,
227,"córdoba, veracruz",,,,pueblo,
228,santo domingo,,,,pueblo,
229,santiago,,,,pueblo,
230,magdalena apasco,,,,pueblo,
231,san pedro guamesula,,,,pueblo,
232,chiapa de la real,,,,pueblo,
233,durango,,,,villa,
234,san josé del parral,,,,real,
235,minas de la resurrección,,,,real,
236,sayula,,,,villa,
237,mascota,,,,pueblo,
238,poncitlán,,,,villa,
239,teosaqualco,,,,pueblo,
240,michoacán,,,,ciudad,
241,hacienda de buena vista,,,,region,
242,tlajomulco,,,,villa,
243,tlazazalca,,,,villa,
244,nuevo león,,,,gobernacion,
245,san cristobal de la habana,,,,ciudad,
246,cuautitlan,,,,region,
247,jolapa,,,,real,
248,san miguel en las provincias de guatemala,,,,pueblo,
