lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id,coordenadas
1,oaxaca de juarez,,17.06542,-96.72365,ciudad,,"(17.06542, -96.72365)"
2,veracruz,,19.190277777,-96.153333333,ciudad,,"(19.190277777, -96.153333333)"
3,antequera,,17.12389,-96.78167,ciudad,,"(17.12389, -96.78167)"
4,ulapa del marquesado de oaxaca,,None,None,pueblo,,"(None, None)"
6,nejapa,,16.60571,-95.97855,pueblo,,"(16.60571, -95.97855)"
7,zimatlan,,16.86939,-96.78435,pueblo,,"(16.86939, -96.78435)"
8,merida de yucatan,,20.97537,-89.61696,ciudad,,"(20.97537, -89.61696)"
9,guatemala,,17.8125,-89.148611111,region,,"(17.8125, -89.148611111)"
10,cuicatlán,,18.22778,-98.285,pueblo,,"(18.22778, -98.285)"
11,teococuilco,,17.3527,-96.61528,pueblo,,"(17.3527, -96.61528)"
12,chalcatongo,,17.03247,-97.57057,pueblo,,"(17.03247, -97.57057)"
13,miahuatlán,,18.54983,-97.43953,pueblo,,"(18.54983, -97.43953)"
14,villa alta de san ildefonso,,None,None,pueblo,,"(None, None)"
15,villa del marquesado del valle,,23.85,-104.233333,villa,,"(23.85, -104.233333)"
16,san juan bautista,,18.0883,-96.12535,pueblo,,"(18.0883, -96.12535)"
17,cádiz,,36.528429425,-6.293573118,ciudad,,"(36.528429425, -6.293573118)"
18,tehuacán,,18.46422,-97.39735,ciudad,,"(18.46422, -97.39735)"
19,lisboa,,19.69403,-101.14539,ciudad,,"(19.69403, -101.14539)"
20,"amatlan, veracruz",,21.33519,-97.75704,pueblo,,"(21.33519, -97.75704)"
21,puebla,,19.051388888,-98.217777777,estado,,"(19.051388888, -98.217777777)"
22,puebla,,19.051388888,-98.217777777,ciudad,,"(19.051388888, -98.217777777)"
23,cholula,,19.0614,-98.3061,ciudad,,"(19.0614, -98.3061)"
24,mexico,,19.419444444,-99.145555555,ciudad,,"(19.419444444, -99.145555555)"
25,cabo verde,,19.1725,-96.299166666,region,,"(19.1725, -96.299166666)"
26,carrión,,21.73721,-101.51846,ciudad,,"(21.73721, -101.51846)"
27,atlixco,,18.90815,-98.43613,ciudad,,"(18.90815, -98.43613)"
28,tlaxcala,,19.4289,-98.1608,ciudad,,"(19.4289, -98.1608)"
29,sevilla,,23.00736,-101.25691,ciudad,,"(23.00736, -101.25691)"
30,acatzingo,,18.98196,-97.78363,ciudad,,"(18.98196, -97.78363)"
31,tlalixcoyan,,18.80222,-96.06056,pueblo,,"(18.80222, -96.06056)"
32,villa de torres novas,,39.4916,-8.54796,villa,,"(39.4916, -8.54796)"
33,"torres novas, portugal",,39.4916,-8.54796,villa,,"(39.4916, -8.54796)"
34,"xalapa, veracruz",,19.53124,-96.91589,ciudad,,"(19.53124, -96.91589)"
35,tlacolula,,16.95508,-96.46918,ciudad,,"(16.95508, -96.46918)"
36,tlaxisco,,18.90024,-98.57209,ciudad,,"(18.90024, -98.57209)"
37,castilla,,19.45833,-101.30111,provincia,,"(19.45833, -101.30111)"
38,tepeaca,,18.98686,-97.88412,ciudad,,"(18.98686, -97.88412)"
39,huejotzingo,huexotzingo,19.15945,-98.40734,ciudad,,"(19.15945, -98.40734)"
40,huamantla,,19.31451,-97.9252,ciudad,,"(19.31451, -97.9252)"
